"","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"1","ENSRNOG00000000012",19.5700699672504,-1.00557340867107,0.980165532903977,-1.02592202532547,0.30492833981783,NA,"transcription factor 15","Tcf15","296272"
"2","ENSRNOG00000000017",132.446472810876,0.56855032098258,0.900198795462499,0.631583072370668,0.527659350632436,0.812565344676021,"STEAP family member 1","Steap1","297738"
"3","ENSRNOG00000000024",1351.82239546899,-0.0360441498030059,0.25153160891834,-0.143298689011717,0.886054291164928,0.960187331516534,"heme binding protein 1","Hebp1","362454"
"4","ENSRNOG00000000033",724.156462389237,-1.18579890005104,1.82608185799562,-0.649367877381255,0.516100621748003,0.806340823192124,"transmembrane and coiled-coil domain family 2","Tmcc2","305095"
"5","ENSRNOG00000000034",174.016159047646,0.372559721476126,0.524898201349978,0.709775191680872,0.477843555568063,0.782947878804039,"NUAK family kinase 2","Nuak2","289419"
"6","ENSRNOG00000000040",27.2506447141204,-0.294071355145429,0.66442091292185,-0.442597981830861,0.658056544799188,NA,"KIAA1614 homolog","Kiaa1614","305101"
"7","ENSRNOG00000000042",365.957721089516,0.164919561121238,0.270219052151761,0.61031803571206,0.541651151810701,0.819487574702109,"xenotropic and polytropic retrovirus receptor 1","Xpr1","289424"
"8","ENSRNOG00000000043",490.206589939611,0.83412944428562,0.325347404031922,2.5638115870867,0.0103529728074862,0.169940763731405,"alpha-L-iduronidase","Idua","360904"
"9","ENSRNOG00000000044",314.386236751354,-0.137999298720814,0.221009566454021,-0.624404187270887,0.532362175857058,0.814851792327223,"transmembrane protein 175","Tmem175","305623"
"10","ENSRNOG00000000047",1751.15778263569,-0.0429743418846678,0.365031811626826,-0.11772766240056,0.906283447767112,0.968647864516388,"Cd82 molecule","Cd82","83628"
"11","ENSRNOG00000000048",2008.21950804186,-0.00144513183650146,0.175249790697831,-0.00824612589120393,0.993420618029841,0.998419291690479,"cyclin G associated kinase","Gak","81659"
"12","ENSRNOG00000000053",8.1995807219756,1.09911720284288,1.15305189522232,0.95322440160506,0.34047638535315,NA,"C-reactive protein","Crp","25419"
"13","ENSRNOG00000000054",1507.88629244627,-0.362301814167941,0.256288379016274,-1.41364901350028,0.157464982601801,0.525240762424397,"abhydrolase domain containing 8","Abhd8","306338"
"14","ENSRNOG00000000055",309.043153588916,-1.14993806670769,0.855277336072079,-1.34452068143049,0.178780073266599,0.548476824606816,"Fc receptor-like 6","Fcrl6","305103"
"15","ENSRNOG00000000062",645.250688294698,0.0588619821618305,0.209661224666381,0.280748060379278,0.778903643706818,0.920223751212744,"polycomb group ring finger 3","Pcgf3","305624"
"16","ENSRNOG00000000064",531.094685784415,-0.350138730429743,0.228110776675677,-1.5349504110784,0.124796009334246,0.483101858643453,"ATP synthase membrane subunit e","Atp5me","140608"
"17","ENSRNOG00000000066",624.406478455332,0.0296655217139099,0.178456319247673,0.16623407811487,0.867972742072802,0.954085804292556,"F-box protein 28","Fbxo28","305105"
"18","ENSRNOG00000000068",6337.10972262935,-0.0806279187992737,0.153370164583863,-0.52570797598112,0.599091121227104,0.849257577042046,"protein phosphatase 2, regulatory subunit B', alpha","Ppp2r5a","312754"
"19","ENSRNOG00000000070",2620.329605029,0.132039840345659,0.131718258291038,1.00244143871011,0.316130436770632,0.67070438948139,"down-regulator of transcription 1","Dr1","289881"
"20","ENSRNOG00000000073",1191.55269335868,0.471901773169074,0.245739361681076,1.92033449562514,0.0548156617860825,0.350636527038656,"transmembrane p24 trafficking protein 5","Tmed5","289883"
"21","ENSRNOG00000000075",1410.3532080481,0.555995497925706,0.317989545583421,1.74847099738959,0.0803825034119257,0.413349052097911,"metal response element binding transcription factor 2","Mtf2","360905"
